### METADATA ###
## USER ##
# id=nefarious1985#2344
# printer=voron_v2_350
# measure_type=nozzle_pin
# measure_gcode="G28 Z"
# notes=
# timestamp=2021-06-23_13-12-34
## SCRIPT ##
# data_structure=3
# hot_duration=3
# cool_duration=0
## Z_AXIS ##
# step_dist=0.0025
# max_z=330.0
# homing_speed=3.0
## FRAME_EXPANSION_COMPENSATION ##
# pullup_resistor=4700.0
# sensor_pin=P0.23
# z_stepper=stepper_z
# coeff=23.4
# gantry_factor=0.19
# frame_z_length=530.0
# max_z_offset=99999999.0
# sensor_type=100k3950
# inline_resistor=0.0
# smooth_time=2.0
# min_temp=0.0
# gcode_id=frame
# max_comp_z=0.0
# max_temp=100.0
### METADATA END ###
sample,time,mcu_pos_z,frame_t,chamber_t,bed_t,bed_target,he_t,he_target
0,2021/06/23-13:12:51,-11830,22.01040544289457,22.88000620274954,27.03204017872137,105.0,61.74299972908665,100.0
0,2021/06/23-13:12:58,-11822,22.034134051994723,22.929212952266994,27.13864450486327,105.0,75.64111375622028,100.0
0,2021/06/23-13:13:04,-11812,22.03458341828158,22.698793168470104,27.22089196971473,105.0,91.92208080094875,100.0
1,2021/06/23-13:13:50,-11807,22.091819328659795,22.83070766612167,31.843097381548,105.0,100.59237579804763,100.0
1,2021/06/23-13:13:57,-11808,22.095609465071114,22.978328305057346,32.59529905818405,105.0,99.8321943278208,100.0
1,2021/06/23-13:14:03,-11808,22.12687204371259,22.99467984604712,33.308947275702145,105.0,99.7943602048024,100.0
2,2021/06/23-13:14:50,-11806,22.211876127498282,23.1738834688274,38.89600186263467,105.0,100.37073800103869,100.0
2,2021/06/23-13:14:57,-11807,22.229366673437696,23.480593816532064,39.54596082950856,105.0,99.75759669002866,100.0
2,2021/06/23-13:15:04,-11806,22.2574177329675,23.271122637048677,40.19227717731491,105.0,99.94909517530142,100.0
3,2021/06/23-13:15:50,-11805,22.354800616303805,23.464539122298618,45.41774634931934,105.0,100.22518417598017,100.0
3,2021/06/23-13:15:57,-11806,22.358442124291855,23.752053022902658,46.059043367423826,105.0,99.67004535470544,100.0
3,2021/06/23-13:16:04,-11805,22.40152626451315,23.688428571812608,46.6997456862944,105.0,100.10375820470296,100.0
4,2021/06/23-13:16:50,-11805,22.55100064075053,24.09930423994905,52.37874443245253,105.0,100.25743246548389,100.0
4,2021/06/23-13:16:57,-11805,22.522094118207534,24.1932323439234,53.01463480637408,105.0,99.71104716548201,100.0
4,2021/06/23-13:17:04,-11805,22.548429135981028,24.28683259900913,53.62968800849487,105.0,100.01679498313516,100.0
5,2021/06/23-13:17:51,-11804,22.713640664520874,24.64264323763564,58.70706105147097,105.0,100.24231646142667,100.0
5,2021/06/23-13:17:57,-11804,22.742730286272707,24.734695278527795,59.67970414542026,105.0,99.76255686786874,100.0
5,2021/06/23-13:18:04,-11804,22.7441673600366,24.887421007906596,60.578542522011,105.0,99.97494400150555,100.0
6,2021/06/23-13:18:51,-11805,22.916048645479506,25.114903978415498,65.64369520462603,105.0,100.29982307345738,100.0
6,2021/06/23-13:18:58,-11805,22.915396522442887,25.29552503797248,66.32618695823508,105.0,99.79260649026995,100.0
6,2021/06/23-13:19:04,-11805,22.950963409819803,25.445130080484773,66.93947647576472,105.0,99.90348442940237,100.0
7,2021/06/23-13:19:51,-11806,23.129901793208262,25.947726973785905,71.20843830359213,105.0,100.31035347532531,100.0
7,2021/06/23-13:19:58,-11806,23.143836839250426,25.859703195414113,71.80322410695447,105.0,99.74212053639009,100.0
7,2021/06/23-13:20:04,-11807,23.193801545554358,25.977005394413368,72.36935263858457,105.0,99.87329612072148,100.0
8,2021/06/23-13:20:51,-11808,23.37989436792123,26.51309246525716,76.43395974505748,105.0,100.26335312740021,100.0
8,2021/06/23-13:20:58,-11807,23.392272467983688,26.52743716294043,76.98919495309009,105.0,100.06240750503734,100.0
8,2021/06/23-13:21:05,-11808,23.449184975376106,26.584741374211035,77.55501723547543,105.0,99.7583596392831,100.0
9,2021/06/23-13:21:51,-11809,23.653343492294358,27.291193560420027,81.4201309424073,105.0,100.32517456800466,100.0
9,2021/06/23-13:21:58,-11810,23.679031996646092,27.165354547004654,81.93495580120462,105.0,100.05592953546702,100.0
9,2021/06/23-13:22:05,-11810,23.73814617006966,27.221353406817002,82.46655590060082,105.0,99.69441540064821,100.0
10,2021/06/23-13:22:52,-11812,24.073048491862544,27.67909188818976,86.0809512961572,105.0,100.2144739248149,100.0
10,2021/06/23-13:22:58,-11812,24.079443256801078,27.788936248318635,86.58366027552044,105.0,100.08704755484881,100.0
10,2021/06/23-13:23:05,-11813,24.14065742069381,27.81633001543912,87.06277681236756,105.0,99.69120438797587,100.0
11,2021/06/23-13:23:52,-11814,24.42848720193522,28.22405367977882,90.35174961519677,105.0,100.14555194146445,100.0
11,2021/06/23-13:23:58,-11815,24.48327887503744,28.331787183204767,90.83268671018266,105.0,100.17964219190337,100.0
11,2021/06/23-13:24:05,-11815,24.548865974294504,28.425716836187576,91.26145610827277,105.0,99.69672552960996,100.0
12,2021/06/23-13:24:52,-11817,24.87180888068092,28.890731255775847,94.36002380492563,105.0,100.2292709583745,100.0
12,2021/06/23-13:24:59,-11818,24.90133433590855,28.785114652504546,94.70692182706141,105.0,100.14298640652751,100.0
12,2021/06/23-13:25:05,-11818,24.97179175839373,29.113868426769614,95.01968700786892,105.0,99.68870607983149,100.0
13,2021/06/23-13:25:52,-11820,25.308358863230968,29.425932770947384,97.26955456787204,105.0,100.1987455790098,100.0
13,2021/06/23-13:25:59,-11822,25.35491588111379,29.477612786925363,97.77444981790207,105.0,100.16223601489148,100.0
13,2021/06/23-13:26:05,-11822,25.395426414169975,29.361200777773263,98.21679622303589,105.0,99.6853623357655,100.0
14,2021/06/23-13:26:52,-11826,25.76338106546143,30.153704171321408,100.2080800074439,105.0,99.98760563300573,100.0
14,2021/06/23-13:26:59,-11826,25.84705603693321,30.24182072451066,100.44555152576214,105.0,100.26895279569938,100.0
14,2021/06/23-13:27:06,-11826,25.87363069307811,30.317135294718582,100.65947205228807,105.0,99.85635985389516,100.0
15,2021/06/23-13:27:52,-11829,26.262812363564272,30.9126895619234,102.31471928826625,105.0,99.77094214752641,100.0
15,2021/06/23-13:27:59,-11829,26.302128655687905,30.94950858612856,102.73583105815548,105.0,100.30947926097916,100.0
15,2021/06/23-13:28:06,-11830,26.366096893364766,30.974028721173113,103.11768941777169,105.0,100.00421875212345,100.0
16,2021/06/23-13:28:52,-11832,26.75302192158017,31.532372739037328,104.96970896360486,105.0,99.6943922965856,100.0
16,2021/06/23-13:28:59,-11833,26.77249818360614,31.664324789623663,105.15233074348434,105.0,100.15134992550261,100.0
16,2021/06/23-13:29:06,-11834,26.823565853131626,31.759918505999167,105.33963253238224,105.0,100.08087054686843,100.0
17,2021/06/23-13:29:53,-11837,27.235895070697012,32.291923850882995,105.94721293439335,105.0,99.72621534114916,100.0
17,2021/06/23-13:29:59,-11838,27.28731686057337,32.408856820061885,106.0098714421509,105.0,100.22104128382551,100.0
17,2021/06/23-13:30:06,-11837,27.320924755299604,32.420524762803666,106.08643743748038,105.0,100.09505390413432,100.0
18,2021/06/23-13:30:53,-11843,27.67391510158561,33.03245907284145,106.01507423887828,105.0,99.6818586775587,100.0
18,2021/06/23-13:30:59,-11843,27.72066216636475,33.07813679743464,105.96134079535848,105.0,100.28027405911895,100.0
18,2021/06/23-13:31:06,-11844,27.786975211559053,33.135135977078164,105.95910557019006,105.0,100.09613417635673,100.0
19,2021/06/23-13:31:53,-11847,28.177742933739733,33.67688383162937,105.80526844503929,105.0,99.7037890182241,100.0
19,2021/06/23-13:32:00,-11848,28.194054134482737,33.7104211246197,105.70649800191525,105.0,100.31311810314142,100.0
19,2021/06/23-13:32:06,-11849,28.254549636605933,33.88865970889617,105.67498198360839,105.0,100.05741016621579,100.0
20,2021/06/23-13:32:53,-11853,28.62284684159554,34.362538104462544,104.49554972286808,105.0,99.75895154961827,100.0
20,2021/06/23-13:33:00,-11853,28.67116223559158,34.41716324073303,104.43209228839379,105.0,100.32250377881549,100.0
20,2021/06/23-13:33:06,-11854,28.713263924119467,34.471690524587586,104.34963049560389,105.0,99.81702025683262,100.0
21,2021/06/23-13:33:53,-11855,29.06367494578891,34.97954146235156,104.6650142710002,105.0,99.70963991825529,100.0
21,2021/06/23-13:34:00,-11855,29.1398332702082,35.04377129216556,104.81014097708386,105.0,100.22252538042945,100.0
21,2021/06/23-13:34:07,-11857,29.20506197785186,35.000966345455026,104.9576837354116,105.0,100.05752038564898,100.0
22,2021/06/23-13:34:53,-11861,29.52641680522465,35.52126753199957,104.65174452945742,105.0,99.6007846546287,100.0
22,2021/06/23-13:35:00,-11861,29.548446038792747,35.573869304716936,104.71227008380528,105.0,100.2083478714703,100.0
22,2021/06/23-13:35:07,-11863,29.607239041240387,35.60538748252975,104.73497050835529,105.0,100.07282658513708,100.0
23,2021/06/23-13:35:54,-11863,29.962368248820987,36.074356049673725,104.82720994562943,105.0,99.63859099253052,100.0
23,2021/06/23-13:36:00,-11863,30.002297150293487,36.11570182335396,104.99722122159703,105.0,100.16874402559615,100.0
23,2021/06/23-13:36:07,-11865,30.03518750287459,36.19822924734325,105.14547957903673,105.0,100.263792436894,100.0
24,2021/06/23-13:36:54,-11867,30.33666829453389,36.627959591318415,104.83302737063228,105.0,99.72396030544635,100.0
24,2021/06/23-13:37:00,-11866,30.400396428322956,36.58728588964277,104.97764473154314,105.0,99.96798617393569,100.0
24,2021/06/23-13:37:07,-11867,30.413121410757118,36.7597866185003,105.12089479335977,105.0,100.2567092591862,100.0
25,2021/06/23-13:37:54,-11871,30.732907840650235,37.07193407106746,105.8979522135487,105.0,99.78409783832859,100.0
25,2021/06/23-13:38:01,-11871,30.763129340157594,37.2019218500335,105.82016199791191,105.0,100.01341829620564,100.0
25,2021/06/23-13:38:07,-11871,30.8164662391374,37.15198973388351,105.75305775827218,105.0,100.33090731219978,100.0
26,2021/06/23-13:38:54,-11874,31.13989052859055,37.45040931258211,105.86413632282621,105.0,99.74041530548325,100.0
26,2021/06/23-13:39:01,-11874,31.158304194141028,37.63796850778897,105.75378546569394,105.0,99.99572232304047,100.0
26,2021/06/23-13:39:07,-11875,31.201236043728905,37.746052819815304,105.58722117433322,105.0,100.28662186268969,100.0
27,2021/06/23-13:39:54,-11877,31.483954185731417,38.038983193467345,104.84913951176297,105.0,99.71954576585487,100.0
27,2021/06/23-13:40:01,-11877,31.538853480209525,38.0487015288096,104.85599040937697,105.0,100.02934779962678,100.0
27,2021/06/23-13:40:08,-11877,31.598035635826367,38.038983193467345,104.83785503805393,105.0,100.32722348363123,100.0
28,2021/06/23-13:40:54,-11880,31.866920887571208,38.396617499616184,104.81541080778034,105.0,99.78321218690581,100.0
28,2021/06/23-13:41:01,-11880,31.882280083901648,38.454239600981225,104.81911487517709,105.0,99.9664091972855,100.0
28,2021/06/23-13:41:08,-11881,31.921351866509468,38.40622833725615,104.7605355062252,105.0,100.30682998174298,100.0
29,2021/06/23-13:41:55,-11882,32.18775052874338,38.82629912895487,104.74346012659436,105.0,99.86152777673979,100.0
29,2021/06/23-13:42:01,-11882,32.21823160042404,38.85474282847258,104.86109195396249,105.0,99.738610139087,100.0
29,2021/06/23-13:42:08,-11883,32.259083677770676,38.78833536029049,104.97496064709767,105.0,100.30252785694083,100.0
30,2021/06/23-13:42:55,-11886,32.51816753157534,39.19414000842289,104.93674625343769,105.0,99.97144311765283,100.0
30,2021/06/23-13:43:01,-11885,32.52882336467331,39.259725289045036,104.95896992782804,105.0,99.73777773459958,100.0
30,2021/06/23-13:43:08,-11884,32.55786050213494,39.231633445870045,105.02108298155764,105.0,100.30185141974448,100.0
31,2021/06/23-13:43:55,-11888,32.80137714165792,39.53932432591347,104.94571693759364,105.0,99.8821394422878,100.0
31,2021/06/23-13:44:02,-11888,32.82425215988614,39.68747426637191,104.99170527630326,105.0,99.78225718566782,100.0
31,2021/06/23-13:44:08,-11889,32.84986375773999,39.64124916180424,105.04767781506084,105.0,100.34011776337842,100.0
32,2021/06/23-13:44:55,-11891,33.06473317994421,39.74285873462401,104.64934327614303,105.0,100.02872682310192,100.0
32,2021/06/23-13:45:02,-11892,33.094719701359026,39.8625396500712,104.66716905673731,105.0,99.69351334467069,100.0
32,2021/06/23-13:45:08,-11892,33.12259091812577,39.9817876120419,104.62918533752314,105.0,100.2583410804328,100.0
33,2021/06/23-13:45:55,-11893,33.33000974362031,40.25534419347497,104.84195951321948,105.0,100.20541851604563,100.0
33,2021/06/23-13:46:02,-11893,33.33521271440855,40.146192703961106,104.95237999831694,105.0,99.64435386228337,100.0
33,2021/06/23-13:46:09,-11893,33.40061259731351,40.30071814032226,105.04735304641896,105.0,100.06822624203942,100.0
34,2021/06/23-13:46:55,-11895,33.61075456503451,40.47257601173709,105.12325960958698,105.0,100.33726182335029,100.0
34,2021/06/23-13:47:02,-11896,33.61750864747765,40.553673511995385,105.11781190557937,105.0,99.83241207424878,100.0
34,2021/06/23-13:47:09,-11896,33.676668355794796,40.46355297241712,105.13120986669719,105.0,99.73804295517775,100.0
35,2021/06/23-13:47:56,-11897,33.83837161408012,40.64355098584804,105.27507450247053,105.0,100.19802264328142,100.0
35,2021/06/23-13:48:02,-11897,33.859061350958406,40.69736148615749,105.32810954172834,105.0,100.17348636150815,100.0
35,2021/06/23-13:48:09,-11899,33.91559505761241,40.70632147826399,105.34207633533651,105.0,99.68890326202907,100.0
